# Named lunar features for SkyFix Lab (skyfix_almanac::lunar_features).
# Generated by tools/moon/build.py; do not edit by hand.
# Names, coordinates and diameters: USGS/IAU Gazetteer of Planetary Nomenclature,
# https://planetarynames.wr.usgs.gov/ (approved Moon features), retrieved 2026-09-25T03:27:54Z;
# U.S. Public Domain (USGS). Selection, ranks and descriptions: SkyFix Lab.
# Selenographic, planetocentric, east-positive longitude, degrees; diameter km.
# name	kind	lat_deg	lon_deg	diameter_km	rank	description
Oceanus Procellarum	oceanus	20.67	-56.68	2592.24	1	The Ocean of Storms, the largest of the dark lava plains
Mare Imbrium	mare	34.72	-14.91	1145.53	1	The Sea of Showers, a huge impact basin ringed by mountains
Mare Serenitatis	mare	27.29	18.36	674.28	1	The Sea of Serenity, a round lava plain with pale shores
Mare Tranquillitatis	mare	8.35	30.83	875.75	1	The Sea of Tranquillity, where Apollo 11 landed
Mare Crisium	mare	16.18	59.10	555.92	1	The Sea of Crises, an isolated oval sea near the eastern limb
Mare Fecunditatis	mare	-7.83	53.67	840.35	2	The Sea of Fertility, east of Tranquillitatis
Mare Nectaris	mare	-15.19	34.60	339.39	2	The Sea of Nectar, a small round basin with a ring of cliffs
Mare Nubium	mare	-20.59	-17.29	714.50	2	The Sea of Clouds, home of the Straight Wall
Mare Humorum	mare	-24.48	-38.57	419.67	2	The Sea of Moisture, a round basin with Gassendi on its shore
Mare Frigoris	mare	57.59	-0.01	1446.41	2	The Sea of Cold, a long thin band across the far north
Mare Vaporum	mare	13.20	4.09	242.46	2	The Sea of Vapours, south of the Apennines
Mare Cognitum	mare	-10.53	-22.31	350.01	3	The Known Sea, named after Ranger 7 photographed it in 1964
Mare Insularum	mare	7.79	-30.64	511.93	3	The Sea of Islands, around Copernicus and Kepler
Mare Anguis	mare	22.43	67.58	145.99	3	The Serpent Sea, a small dark patch north-east of Crisium
Mare Undarum	mare	7.49	68.66	244.84	3	The Sea of Waves, dark patches near the eastern limb
Mare Marginis	mare	12.70	86.52	357.63	2	The Border Sea, on the eastern limb; best when libration tilts it into view
Mare Smythii	mare	-1.71	87.05	373.97	2	Smyth's Sea, on the eastern limb at the equator; needs good libration
Mare Humboldtianum	mare	56.92	81.54	230.78	3	Humboldt's Sea, on the north-eastern limb
Mare Australe	mare	-47.77	91.99	996.84	3	The Southern Sea, a scatter of dark floors on the south-eastern limb
Mare Orientale	mare	-19.87	-94.67	294.16	2	A great ringed basin on the western limb, glimpsed only at good libration
Sinus Iridum	sinus	45.01	-31.67	249.29	1	The Bay of Rainbows, a half-drowned crater edged by the Jura mountains
Sinus Medii	sinus	1.63	1.03	286.67	2	The Central Bay, at the centre of the Moon's face
Sinus Aestuum	sinus	12.10	-8.34	316.50	3	The Seething Bay, a dark bay east of Copernicus
Sinus Roris	sinus	50.26	-50.86	195.04	3	The Bay of Dew, joining Frigoris to Procellarum
Sinus Amoris	sinus	19.92	37.29	189.10	3	The Bay of Love, off the north-east of Tranquillitatis
Lacus Somniorum	lacus	37.56	30.80	424.76	3	The Lake of Dreams, a pale plain north-east of Serenitatis
Lacus Mortis	lacus	45.13	27.32	158.78	3	The Lake of Death, a flooded plain with a rille across it
Palus Putredinis	palus	27.36	0.00	180.45	3	The Marsh of Decay, at the foot of the Apennines
Palus Epidemiarum	palus	-32.00	-27.54	300.38	3	The Marsh of Epidemics, south-west of Nubium
Montes Apenninus	montes	19.87	0.03	599.67	1	The Apennines, the grandest range, part of the rim of Imbrium
Montes Alpes	montes	48.36	-0.58	334.48	1	The Alps, cut through by the Alpine Valley
Montes Caucasus	montes	37.52	9.93	443.51	2	The Caucasus, between Imbrium and Serenitatis
Montes Carpatus	montes	14.57	-23.62	333.59	2	The Carpathians, on the southern rim of Imbrium
Montes Jura	montes	47.49	-36.11	420.80	2	The Jura, the bright arc around Sinus Iridum
Montes Haemus	montes	17.11	12.03	384.66	3	The Haemus range, along the south-west shore of Serenitatis
Montes Taurus	montes	27.32	40.34	166.16	3	The Taurus mountains, east of Serenitatis
Montes Pyrenaeus	montes	-14.05	41.51	251.33	3	The Pyrenees, along the eastern shore of Nectaris
Montes Riphaeus	montes	-7.48	-27.60	190.12	3	The Riphaeus mountains, peaks poking out of Mare Cognitum
Montes Recti	montes	48.30	-19.72	83.24	2	The Straight Range, a short, ruler-straight ridge in Imbrium
Montes Teneriffe	montes	47.89	-13.19	111.98	3	The Teneriffe mountains, a group of isolated peaks in Imbrium
Montes Harbinger	montes	26.89	-41.29	92.70	3	The Harbinger mountains, which catch the dawn just before Aristarchus
Montes Cordillera	montes	-19.44	-94.93	963.50	3	The Cordillera, the outer ring of the Orientale basin on the limb
Mons Pico	mons	45.82	-8.87	24.42	2	Pico, a lone peak on the Imbrium plain with a long pointed shadow
Mons Piton	mons	40.72	-0.92	22.50	3	Piton, another lone Imbrium peak
Mons Hadley	mons	26.69	4.12	26.40	2	Mount Hadley, the massif beside the Apollo 15 landing site
Mons Huygens	mons	19.92	-2.86	41.97	3	Mount Huygens, one of the highest peaks of the Apennines
Mons Rümker	mons	40.76	-58.38	73.25	3	Mons Rümker, a cluster of volcanic domes in Procellarum
Mons Gruithuisen Gamma	mons	36.56	-40.72	19.65	3	Gruithuisen Gamma, a steep-sided volcanic dome
Mont Blanc	mons	45.41	0.44	21.57	3	Mont Blanc, a high peak of the lunar Alps
Mons Malapert	mons	-85.98	-1.67	67.00	3	Mons Malapert, a mountain near the south pole, seen at good libration
Rupes Recta	rupes	-21.67	-7.70	115.95	1	The Straight Wall: a dark line before full Moon, a bright one after
Rupes Altai	rupes	-24.32	23.12	545.19	2	The Altai Scarp, a curving cliff on the old rim of the Nectaris basin
Vallis Alpes	vallis	49.21	3.63	155.42	1	The Alpine Valley, a straight flat-floored cleft through the Alps
Vallis Schröteri	vallis	26.16	-51.58	185.32	1	Schröter's Valley, the largest winding rille, beside Aristarchus
Vallis Rheita	vallis	-42.51	51.65	509.07	2	The Rheita Valley, a long gouge of overlapping craters
Rima Hadley	rima	25.72	3.15	116.09	2	Hadley Rille, the lava channel Apollo 15 drove to
Rima Ariadaeus	rima	6.48	13.44	247.45	2	The Ariadaeus Rille, a long straight trench
Rima Hyginus	rima	7.62	6.77	203.96	2	The Hyginus Rille, two arms of pits meeting at a crater
