# Generated by tools/starfield/build.py; do not edit by hand.
# Display-only data (CONVENTIONS 13.6). Provenance: docs/THIRD_PARTY.md,
# section "Star field and constellations".
# IAU constellation boundaries (Delporte 1930), mean equator and equinox of
# B1875.0: abbr|part|corners as RA seconds of time,Dec arcminutes.
# Every edge is an arc of an hour circle or of a parallel; the last corner
# joins the first. Octans' three plotting points at the south pole (added
# by the digital transcription, not boundary corners) are removed.
And||82320,2070 82320,3150 84000,3150 84000,3000 84900,3000 84900,2880 600,2880 600,2760 3120,2760 3120,2880 4020,2880 4020,3000 4920,3000 6000,3000 6000,2820 7350,2820 7350,3030 9060,3030 9060,2205 7200,2205 7200,2100 5070,2100 5070,1980 2580,1980 2580,1425 3060,1425 3060,1260 510,1260 510,1320 240,1320 240,1680 0,1680 0,1880 85500,1880 85500,1925 84600,1925 84600,2070
Ant||33720,-1440 33720,-2205 33720,-2385 39600,-2385 39600,-2100 39000,-2100 39000,-1870 38100,-1870 38100,-1750 36900,-1750 36900,-1590 35100,-1590 35100,-1440
Aps||49200,-4950 64800,-4950 64800,-4500 64800,-4050 63000,-4050 61200,-4050 61200,-4200 53100,-4200 49200,-4200 49200,-4500
Aqr||73920,0 73920,120 75000,120 76800,120 77280,120 77280,165 78000,165 78000,105 79200,105 79200,120 81900,120 81900,0 81900,-240 85800,-240 85800,-420 85800,-1530 82800,-1530 78720,-1530 78720,-540 76800,-540 76800,-900 73920,-900 73920,-540
Aql||66900,0 66900,120 67920,120 67920,375 67184,375 67184,720 67920,720 67920,1110 68400,1110 68400,970 71400,970 71400,945 72510,945 72510,510 73080,510 73080,120 73920,120 73920,0 73920,-540 72000,-540 72000,-722 67920,-722 67920,-240 66900,-240
Ara||59115,-3600 59115,-2730 64200,-2730 64800,-2730 64800,-3420 63000,-3420 63000,-4050 61200,-4050 60600,-4050 60600,-3900 60300,-3900 60300,-3815 59700,-3815 59700,-3660 59115,-3660
Ari||7200,595 6000,595 6000,1500 6900,1500 6900,1635 8700,1635 8700,1840 9780,1840 12120,1840 12120,1140 11820,1140 11820,595
Aur||16200,1840 16200,2160 16890,2160 16890,3150 18000,3150 18000,3360 21960,3360 21960,3240 23400,3240 23400,3000 24480,3000 24480,2670 26520,2670 26520,2130 23520,2130 23520,1680 21180,1680 21180,1710 17100,1710 17100,1800 16200,1800
Boo||54300,480 48600,480 48600,900 48600,1710 50250,1710 50250,1845 50520,1845 50520,2910 50520,3330 51900,3330 54900,3330 54900,3180 56700,3180 56700,3090 56700,2400 55560,2400 55560,1980 54660,1980 54660,1560 54300,1560
Cae||15360,-2400 15360,-2940 16200,-2940 16200,-2790 17400,-2790 17400,-2580 18000,-2580 18000,-1635 17400,-1635 16920,-1635 16920,-1800 16500,-1800 16500,-2220 15360,-2220
