# tools/starfield/dso.py; id|type|ra|dec|V|maj|min|name|description|cross_ids
M1|snr|83.6331|+22.0145|8.4|7|5|Crab Nebula|The remnant of a supernova seen in 1054, with a pulsar at its centre|NGC 1952
M2|gc|323.3626|-0.8233|6.5|13|13||One of the larger and brighter globular clusters|NGC 7089
M3|gc|205.5484|+28.3773|6.2|16|16||A bright globular cluster rich in variable stars|NGC 5272
M4|gc|245.8967|-26.5257|5.6|26|26||One of the nearest globular clusters, just west of Antares|NGC 6121
M5|gc|229.6384|+2.0810|5.7|17|17||A large, bright and very old globular cluster|NGC 5904
M6|oc|265.0833|-32.2533|4.2|20|20|Butterfly Cluster|An open cluster whose stars outline a butterfly|NGC 6405
M7|oc|268.4625|-34.7933|3.3|100|100|Ptolemy Cluster|A bright open cluster known since antiquity|NGC 6475
M8|en|270.9042|-24.3867|6.0|90|40|Lagoon Nebula|A star-forming nebula visible to the naked eye|NGC 6523
M9|gc|259.7991|-18.5162|7.7|8.7|8.7||A globular cluster near the centre of the Galaxy|NGC 6333
M10|gc|254.2877|-4.1003|6.6|15|15||A bright globular cluster in Ophiuchus|NGC 6254
M11|oc|282.7708|-6.2700|5.8|14|14|Wild Duck Cluster|One of the richest and most compact open clusters|NGC 6705
M12|gc|251.8091|-1.9485|6.7|14|14||A loose globular cluster, a neighbour of M10|NGC 6218
M13|gc|250.4235|+36.4613|5.8|33|33|Hercules Cluster|The finest globular cluster in the northern sky|NGC 6205
M14|gc|264.4006|-3.2459|7.6|14|14|||NGC 6402
M15|gc|322.4930|+12.1670|6.2|12|12||A dense globular cluster with a collapsed core|NGC 7078
M16|cn|274.7000|-13.8067|6.0|35|28|Eagle Nebula|A young cluster in the nebula of the Pillars of Creation|NGC 6611
M17|en|275.1958|-16.1717|6.0|11|11|Omega Nebula|A bright star-forming nebula, also called the Swan|NGC 6618
M18|oc|274.9917|-17.1017|6.9|9|9||A small open cluster between M17 and M24|NGC 6613
M19|gc|255.6570|-26.2679|6.8|9.6|9.6||An oblate globular cluster near the Galactic centre|NGC 6273
M20|en|270.6750|-22.9717|6.3|28|28|Trifid Nebula|An emission and reflection nebula split by dark lanes|NGC 6514
M21|oc|271.0542|-22.4900|5.9|13|13||A young open cluster beside the Trifid Nebula|NGC 6531
M22|gc|279.0997|-23.9047|5.1|24|24||One of the brightest and nearest globular clusters|NGC 6656
M23|oc|269.2667|-18.9850|5.5|35|35||A large open cluster in Sagittarius|NGC 6494
M24|sc|274.2000|-18.5500|4.6|120|60|Sagittarius Star Cloud|A window through the dust onto a distant arm of the Galaxy|IC 4715
M25|oc|277.9458|-19.1167|4.6|31|31||A bright open cluster in Sagittarius|IC 4725
M26|oc|281.3250|-9.3833|8.9|15|15||A small open cluster in Scutum|NGC 6694
M27|pn|299.9015|+22.7212|7.5|6.7|6.7|Dumbbell Nebula|The first planetary nebula ever found (1764)|NGC 6853
M28|gc|276.1370|-24.8698|6.8|11|11||A globular cluster near the Teapot's lid|NGC 6626
M29|oc|305.9833|+38.5233|6.6|7|7|Cooling Tower|A small open cluster south of Sadr|NGC 6913
M30|gc|325.0922|-23.1799|7.2|11|11||A globular cluster with a collapsed core|NGC 7099
M31|sg|10.6847|+41.2687|3.4|200|71|Andromeda Galaxy|The nearest large galaxy, 2.5 million light-years away|NGC 224
M32|eg|10.6743|+40.8652|8.1|3.4|2.7||A compact elliptical galaxy, satellite of M31|NGC 221
M33|sg|23.4621|+30.6602|5.7|60|35|Triangulum Galaxy|The third-largest galaxy of the Local Group|NGC 598
M34|oc|40.5210|+42.7617|5.2|48|48||A bright open cluster in Perseus|NGC 1039
M35|oc|92.2250|+24.3333|5.1|38|38||A large open cluster at Castor's feet|NGC 2168
M36|oc|84.0750|+34.1400|6.0|12|12|Pinwheel Cluster|A young open cluster in Auriga|NGC 1960
M37|oc|88.0750|+32.5533|5.6|19|19||The richest of the three Auriga clusters|NGC 2099
M38|oc|82.1792|+35.8550|6.4|20|20|Starfish Cluster||NGC 1912
M39|oc|322.9500|+48.4333|4.6|32|32||A large, loose open cluster in Cygnus|NGC 7092
M40|ds|185.5522|+58.0829|8.4|1|1|Winnecke 4|A double star Messier listed while looking for a nebula|
M41|oc|101.5042|-20.7567|4.5|40|40||A bright open cluster four degrees south of Sirius|NGC 2287
M42|en|83.8221|-5.3911|4.0|66|66|Orion Nebula|The nearest large star-forming region, visible to the naked eye|NGC 1976
M43|en|83.8792|-5.2700|9.0|20|15|De Mairan's Nebula|A detached part of the Orion Nebula|NGC 1982
M44|oc|130.1000|+19.6667|3.1|95|95|Beehive Cluster|A naked-eye open cluster in Cancer, also called Praesepe|NGC 2632
M45|oc|56.7500|+24.1167|1.6|110|110|Pleiades|The Seven Sisters, the best-known star cluster|
M46|oc|115.4417|-14.8100|6.1|25|25||A rich open cluster with a planetary nebula in front of it|NGC 2437
M47|oc|114.1458|-14.4833|4.4|31|31||A bright, loose open cluster in Puppis|NGC 2422
M48|oc|123.4290|-5.7500|5.8|44|44||A large open cluster in Hydra|NGC 2548
M49|eg|187.4450|+8.0004|8.4|8.2|6.8||A giant elliptical galaxy, the brightest in the Virgo Cluster|NGC 4472
M50|oc|105.6979|-8.3378|5.9|16|16|||NGC 2323
M51|sg|202.4696|+47.1953|8.4|9|7.8|Whirlpool Galaxy|A spiral galaxy pulling on a smaller companion|NGC 5194
M52|oc|351.2000|+61.5933|7.3|16|16||A rich open cluster in Cassiopeia|NGC 7654
M53|gc|198.2302|+18.1682|7.6|13|13||A globular cluster in the outer halo of the Galaxy|NGC 5024
M54|gc|283.7639|-30.4799|7.6|9.1|9.1||A globular cluster belonging to the Sagittarius Dwarf Galaxy|NGC 6715
M55|gc|294.9988|-30.9647|6.3|19|19||A large, loose globular cluster in Sagittarius|NGC 6809
M56|gc|289.1482|+30.1835|8.3|7.1|7.1||A globular cluster between Albireo and Sulafat|NGC 6779
M57|pn|283.3962|+33.0291|8.8|1.2|1.2|Ring Nebula|A planetary nebula seen as a smoke ring|NGC 6720
M58|sg|189.4317|+11.8181|9.7|5.7|4.5||A barred spiral galaxy in the Virgo Cluster|NGC 4579
M59|eg|190.5097|+11.6469|9.6|5.6|3.8||An elliptical galaxy in the Virgo Cluster|NGC 4621
M60|eg|190.9167|+11.5528|8.8|6.4|5||A giant elliptical galaxy beside the spiral NGC 4647|NGC 4649
M61|sg|185.4789|+4.4738|9.7|5|5||A spiral galaxy where many supernovae have been seen|NGC 4303
M62|gc|255.3025|-30.1124|6.5|14|14||A globular cluster near the Galactic centre|NGC 6266
M63|sg|198.9553|+42.0294|8.6|13|7.9|Sunflower Galaxy|A spiral galaxy with patchy, short arms|NGC 5055
M64|sg|194.1821|+21.6827|8.5|11|6.2|Black Eye Galaxy|A spiral galaxy with a dark band of dust across its core|NGC 4826
M65|sg|169.7332|+13.0922|9.3|16|4.5||A spiral galaxy of the Leo Triplet|NGC 3623
M66|sg|170.0626|+12.9913|8.9|11|6||A spiral galaxy of the Leo Triplet|NGC 3627
M67|oc|132.8250|+11.8000|6.9|25|25||One of the oldest known open clusters|NGC 2682
M68|gc|189.8666|-26.7441|7.8|12|12|||NGC 4590
M69|gc|277.8462|-32.3481|7.6|7.1|7.1||A globular cluster near the Teapot's spout|NGC 6637
M70|gc|280.8032|-32.2921|7.9|7.8|7.8||A small globular cluster near M69|NGC 6681
M71|gc|298.4437|+18.7792|8.2|7.2|7.2||A loose globular cluster in Sagitta|NGC 6838
M72|gc|313.3654|-12.5373|9.3|5.9|5.9||A distant globular cluster in Aquarius|NGC 6981
M73|as|314.7500|-12.6330|8.9|3|3||Four unrelated stars that Messier listed as a cluster|NGC 6994
M74|sg|24.1739|+15.7836|9.4|6.7|6.7|Phantom Galaxy|A face-on spiral galaxy of low surface brightness|NGC 628
M75|gc|301.5202|-21.9223|8.5|2.4|2.1||A compact, distant globular cluster|NGC 6864
M76|pn|25.5819|+51.5754|10.1|2.3|2.3|Little Dumbbell Nebula||NGC 650
M77|sg|40.6699|-0.0133|8.9|5.5|5.1|Cetus A|A spiral galaxy with an active nucleus|NGC 1068
M78|rn|86.6908|+0.0792|8.3|8|6||The brightest reflection nebula in the sky|NGC 2068
M79|gc|81.0441|-24.5242|7.7|8.7|8.7||A globular cluster in Lepus, far from the Galactic centre|NGC 1904
M80|gc|244.2600|-22.9761|7.3|8.9|8.9||A dense globular cluster between Antares and Acrab|NGC 6093
M81|sg|148.8882|+69.0653|6.9|21|10|Bode's Galaxy|A grand spiral galaxy in Ursa Major|NGC 3031
M82|ig|148.9685|+69.6797|8.4|11|4.3|Cigar Galaxy|A starburst galaxy stirred by its neighbour M81|NGC 3034
M83|sg|204.2538|-29.8658|7.5|14|13|Southern Pinwheel Galaxy|A barred spiral galaxy in Hydra|NGC 5236
