# Generated by tools/starfield/build.py; do not edit by hand.
# Display-only data (CONVENTIONS 13.6). Provenance: docs/THIRD_PARTY.md,
# section "Star field and constellations".
# Constellation figures: this project's own drawing (MIT OR Apache-2.0),
# authored in tools/starfield/figures.txt by designation.
# abbr|name|label_ra_deg|label_dec_deg|segments as HR-HR pairs.
# Label positions are ICRS (J2000) directions.
And|Andromeda|7.8498|+39.0062|15-165 165-337 337-603 337-269 269-226 165-154 154-63 63-8965 8965-8976 8976-8961
Ant|Antlia|154.4368|-35.0520|3765-4104 4104-4273
Aps|Apus|241.9808|-78.7566|5470-6020 6020-6163 6163-6102 6102-6020
Aqr|Aquarius|338.7942|-8.6755|7950-8232 8232-8414 8414-8518 8518-8559 8559-8597 8559-8539 8414-8499 8499-8698 8698-8679 8679-8709 8698-8834 8834-8841 8841-8988 8988-8892 8892-8812 8232-8418
Aql|Aquila|293.7409|+5.9508|7525-7557 7557-7602 7557-7377 7176-7235 7235-7377 7377-7236 7377-7570 7570-7710
Ara|Ara|260.5002|-55.2361|6743-6510 6510-6295 6295-6285 6285-6229 6229-6500 6500-6462 6462-6461 6461-6510
Ari|Aries|32.6971|+22.8061|546-553 553-617 617-838
Aur|Auriga|81.1199|+41.3207|1708-2088 2088-2095 2095-1791 1791-1577 1577-1708 1708-1605 1605-1612 1612-1641 1708-2077 2077-2088
Boo|Boötes|217.2162|+30.6965|5340-5506 5506-5681 5681-5602 5602-5435 5435-5429 5429-5340 5340-5235 5235-5185 5340-5478 5435-5351 5351-5404
Cae|Caelum|71.2595|-39.9021|1443-1502 1502-1503 1503-1652
Cam|Camelopardalis|65.8856|+63.2279|1568-1603 1603-1542 1542-1148 1603-1035 1542-1155
Cnc|Cancer|130.4405|+17.9121|3249-3461 3461-3449 3449-3475 3461-3572
CVn|Canes Venatici|191.2830|+39.8712|4915-4785
CMa|Canis Major|103.3849|-21.8606|2294-2491 2491-2653 2653-2693 2693-2827 2693-2618 2618-2282 2491-2596 2596-2574 2596-2657
CMi|Canis Minor|113.3113|+6.7596|2845-2943
Cap|Capricornus|316.1528|-19.5250|7754-7776 7776-7936 7936-7980 7980-8080 8080-8204 8204-8322 8322-8278 8278-8167 8167-8075 8075-7776
Car|Carina|137.7104|-63.1371|2326-3117 3117-3307 3307-3699 3699-4050 4050-4140 4140-4199 4199-4037 4037-3685 3685-3890
Cas|Cassiopeia|14.8475|+60.3625|542-403 403-264 264-168 168-21
Cen|Centaurus|201.7490|-49.7341|5459-5267 5267-5132 5132-5231 5231-5249 5249-5193 5193-5190 5190-5028 5190-5288 5231-5440 5440-5576 5132-4819 4819-4743 4743-4621 4621-4638 4638-4390 4390-4467
Cep|Cepheus|329.7784|+65.5727|8162-8238 8238-8974 8974-8694 8694-8465 8465-8162 8238-8694 8465-8571 8162-7957
Cet|Cetus|30.3217|-3.0972|911-896 896-813 813-718 718-804 804-911 804-779 779-681 681-539 539-509 509-188 188-74 539-402 402-334 334-188
Cha|Chamaeleon|154.3196|-79.4945|3318-4174 4174-4583 4583-4674 4674-4234 4234-4174 3318-3340
Cir|Circinus|226.9861|-60.8608|5670-5463 5463-5704
Col|Columba|89.1915|-36.0726|1862-1956 1956-2040 2040-2106 2106-2256 2256-2296 2040-2120
Com|Coma Berenices|194.1684|+24.6506|4968-4983 4983-4737
CrA|Corona Australis|285.3911|-39.5114|7152-7226 7226-7254 7254-7259 7259-7242 7242-7188 7188-6951
CrB|Corona Borealis|235.9693|+28.0706|5778-5747 5747-5793 5793-5849 5849-5889 5889-5947 5947-5971
Crv|Corvus|184.9474|-20.9811|4662-4757 4757-4786 4786-4630 4630-4662 4630-4623
Crt|Crater|171.8267|-16.2613|4343-4287 4287-4382 4382-4405 4405-4343 4382-4402 4402-4468 4405-4514 4514-4567
Cru|Crux|187.5405|-59.6950|4730-4763 4853-4656
Cyg|Cygnus|302.3328|+40.7270|7924-7796 7796-7615 7615-7417 7328-7420 7420-7528 7528-7796 7796-7949 7949-8115
