# Generated by tools/starfield/wgsn.py; do not edit by hand. Display-only data
# (CONVENTIONS 13.6). Star names: IAU WGSN (the IAU Catalog of Star Names),
# joined by HR number to the Bright Star Catalogue. names.txt wins where both
# name a star. hr|hip|name (name empty: the star keeps its names.txt name).
15|677|
21|746|
39|1067|
80|1645|Simmakh
99|2081|
130|2599|Cexing
153|2920|Fulu
168|3179|
188|3419|
215|3693|Shimu
219|3821|
224|3786|Waiping
264|4427|
265|4422|Castula
271|4463|Kui
285|5372|Tarandus
335|5434|Junnanmen
337|5447|
338|5348|Wurren
361|5737|Revati
362|5743|Paushna
367|5824|Buranun
390|6411|Adhil
403|6686|
424|11767|
437|7097|
458|7513|Titawin
463|7535|Idigna
464|7607|Nembus
472|7588|
496|8068|Dajiangjunbei
510|8198|Torcular
539|8645|
542|8886|
544|8796|
553|8903|
580|9598|Gang
592|9763|Rangifer
603|9640|
617|9884|
622|10064|Alaybasan
642|10280|Triminus
660|10644|Deltoton
664|10670|Apdu
681|10826|
707|11569|Huagai
804|12706|
824|13061|Lilii Borea
834|13268|
838|13209|
850|13288|Angetenar
874|13701|
911|14135|
932|14862|Shangcheng
936|14576|
941|14668|Misam
951|14838|
963|14879|
984|15197|Zibal
1017|15863|
1084|16537|
1122|17358|Sarvvis
1131|17448|
1136|17378|
1140|17489|
1142|17499|
1145|17531|
1148|17959|Shaowei
1149|17573|
1151|17579|
1155|17884|Custos
1156|17608|
1165|17702|
1178|17847|
1180|17851|
1220|18532|Áldu
1228|18614|
1231|18543|
1239|18724|Bibing
1298|19587|
1325|19849|
1336|19780|Rhombus
1346|20205|
1373|20455|
1393|20535|Beemim
1407|20877|Shakata
1409|20889|
1412|20894|
1457|21421|
1464|21393|Theemin
1481|21594|Sceptrum
1497|21881|Gaja
1543|22449|
1547|22565|Lembu
1577|23015|
1605|23416|
1612|23453|
1641|23767|
1654|23685|Ping
1666|23875|
1702|24305|Bade
1708|24608|
1713|24436|
1790|25336|
1791|25428|
1829|25606|
1852|25930|
1865|25985|
1879|26207|
1899|26241|
1903|26311|
1910|26451|
1956|26634|
1998|27288|Darlugal
2004|27366|
2040|27628|
2061|27989|
2077|28358|Bagu
2088|28360|
2095|28380|
2177|29034|Elkurud
2209|29997|Shangwei
2216|29655|
2261|29271|Hoerikwaggo
2282|30122|
2286|30343|
2294|30324|
2326|30438|
2363|31940|Kamelos
2421|31681|
2451|31685|Pipit
2473|32246|
2484|32362|
2491|32349|
2527|33694|Tonglingxing
2618|33579|
2646|33856|Nganurganity
2650|34088|
2657|34045|
2693|34444|
2777|35550|
2827|35904|
2845|36188|
2891|36850|
2930|37265|Jishui
2943|37279|
2990|37826|
3045|38170|
3165|39429|
3185|39757|
3208|40167|Tegmine
3249|40526|Tarf
3268|40881|Piautos
3275|41075|Alsciaukat
3307|41037|
3323|41704|
3418|42402|Minchir
3429|42556|Meleph
3449|42806|Asellus Borealis
3461|42911|Asellus Australis
3475|43103|Yuyu
3482|43109|Ashlesha
3485|42913|
3522|43587|Copernicus
3569|44127|
3572|44066|Acubens
3594|44471|Alkaphrah
3627|44946|Nahn
3634|44816|
3685|45238|
3699|45556|
3734|45941|
3743|46471|Intercrus
3748|46390|
3773|46750|
3845|47431|Ukdah
3852|47508|
3903|48356|Zhang
3905|48455|
3923|48615|Felis
3982|49669|
4031|50335|
4033|50372|
4069|50801|
4247|53229|
4277|53721|Chalawan
4287|53740|
4295|53910|
4301|54061|
4357|54872|
4359|54879|
4377|55219|
4434|56211|
4518|57399|Taiyangshou
4534|57632|
4540|57757|
4554|58001|
4609|58952|Tonatiuh
4623|59199|
4656|59747|
4660|59774|
4662|59803|
4689|60129|
4700|60260|
4757|60965|
4763|61084|
4785|61317|
4786|61359|
4823|61966|Lumbung
4825|61941|
4846|62223|La Superba
4853|62434|
4863|62423|Tianyi
4905|62956|
4910|63090|
4915|63125|
4916|63076|Taiyi
4932|63608|
5020|64962|Naga
5028|65109|Kulou
5054|65378|
5056|65474|
5062|65477|
5095|66006|Apamvatsa
5107|66249|
5127|66458|Jordanus
5185|67275|Tepiamenit
5190|67464|Heng
5191|67301|
5235|67927|
5267|68702|
5288|68933|
5291|68756|
5315|69427|Kang
5338|69701|
5340|69673|
5351|69732|Xuange
5359|69974|Khambalia
5409|70755|Elgafar
5429|71053|Kalasungsang
5435|71075|
5447|71284|Genghe
5459|71683|
5460|71681|
5463|71908|Xami
5469|71860|Uridim
5470|72370|Paradys
5490|71995|Alrumh
5505|72105|Pulcherrima
5506|72105|
5511|72220|Maenalus
5526|72571|Solitaire
5531|72622|
5533|72487|Merga
5563|72607|
5602|73555|
5603|73714|Brachium
5681|74666|Qigong
5685|74785|
5714|74793|Pherkad Minor
5733|75411|Alkalurops
5735|75097|
5744|75458|
5747|75695|
5778|76127|Guansuo
5787|76333|
5793|76267|
5849|76952|Baltesha
5854|77070|
5855|77048|Stephanos
5867|77233|Zhou
5879|77450|Gudja
5889|77512|Matrichakra
5928|78104|
5933|78072|Muning
5944|78265|
5953|78401|
5971|78493|Aurwandilsta
6027|79374|
6056|79593|
6075|79882|
6084|80112|
6092|79992|Asuusiha
6115|80582|Yaqana
6117|80463|Cujam
6132|80331|Athebyne
6134|80763|
6148|80816|
6149|80883|
6165|81266|
6212|81693|Tianji
6217|82273|
6241|82396|
6247|82514|Xamidimura
6252|82545|Pipirima
6298|83100|Shengong
6324|83207|Khepdenreret
6378|84012|
6396|83895|
6410|84379|
6418|84380|Nüchuang
6508|85696|
6526|85693|Maasym
